"nm_street"
NULL
"East 43 Street"
"Rockaway Boulevard"
"44 Avenue"
"Shore Road"
"Newtown Road"
"Hugh J Grant Circle"
"Joline Avenue"
"Avenue X"
"Lakeview Boulevard East"
"Welling Court"
"West 150 Street"
"Irving Avenue"
"Weiner Street"
"Harrod Avenue"
"Ludwig Lane"
"153 Street"
"Kane Street"
"Riverside Drive West"
"Eldert Street"
"Monument Walk"
"Dereimer Avenue"
"Cedar Avenue"
"Walton Street"
"Gerald Court"
"West 32 Street"
"Little League Place"
"Lincoln Street"
"Reon Avenue"
"Pinehurst Avenue"
"224 Street"
"Sunset Boulevard"
"Rider Avenue"
"East 60 Street"
"Tudor Road"
"Booth Street"
"Ankener Avenue"
"Schiefelin Avenue"
"Vanriper Street"
"Brooks Pond Place"
"Bronx Riv Avenue"
"Port Richmond Avenue"
"Meisner Avenue"
"2 Street"
"East 141 Street"
"Simpson Street"
"Beach 79 Street"
"Beach 62 Street"
"St. Nicholas Avenue"
"Whitestone Expressway"
"Viele Avenue"
"North 6 Street"
"Avenue R"
"56 Street"
"East 91 Street"
"East Williston Avenue"
"Bullard Avenue"
"East 194 Street"
"Matthewson Road"
"Mason Avenue"
"Amity Place"
"Ilyssa Way"
"Isabella Avenue"
"205 Street"
"42 Place"
"Renwick Avenue"
"Warwick Street"
"210 Street"
"Wickham Avenue"
"22 Avenue"
"84 Road"
"East Broadway"
"East 120 Street"
"East 225 Street"
"Marsden Street"
"West 104 Street"
"West 13 Street"
"36 Street"
"Beach 19 Street"
"38 Avenue"
"Skillman Avenue"
"Garrison Avenue"
"87 Street"
"Grand Street"
"Buel Avenue"
"Guyon Avenue"
"267 Street"
"Rivington Street"
"West170 Street"
"Hubbard Street"
"Cleveland Street"
"241 Street"
"Utopia Parkway"
"East 218 Street"
"Fuller Place"
"East 32 Street"
"West 187 Street"
"Rosedale Avenue"
"Mosholu Parkway"
"East 183 Street"
"Casanova Street"
"West 49 Street"
"East 140 Street"
"Stanhope Street"
"Washington Avenue"
"Beach 124 Street"
"Adrian Avenue"
"Edgegrove Avenue"
"36 Avenue"
"Richman Plaza"
"153 Place"
"Oxford Street"
"Lake Street"
"Porter Avenue"
"Mill Avenue"
"Bradhurst Avenue"
"Marlborough Road"
"Hawthorne Street"
"Bronxwood Avenue"
"Unionport Road"
"148 Road"
"Pulaski Avenue"
"144 Place"
"43 Street"
"Midland Avenue"
"Katonah Avenue"
"Maujer Street"
"Alcott Place"
"West 218 Street"
"Porter Road"
"West 123 Street"
"Crotona Parkway"
"Whitney Avenue"
"Benedict Road"
"Delafield Avenue"
